City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Prachuap Khiri Khan,TH,12.2167,99.75,74.01,87,90,3.87,overcast clouds
80,Hamilton,US,39.1834,-84.5333,74.98,94,100,6.91,light rain
81,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,54,12.73,broken clouds
82,Esperance,AU,-33.8667,121.9,53.8,92,100,16.62,moderate rain
83,Gidam,IN,18.9833,81.4,73.6,98,100,5.35,overcast clouds
84,Yellowknife,CA,62.456,-114.3525,68.09,57,100,12.39,overcast clouds
85,Bandarbeyla,SO,9.4942,50.8122,77.4,72,16,36.44,few clouds
86,Katherine,AU,-14.4667,132.2667,66.52,82,17,3.44,few clouds
87,Bredasdorp,ZA,-34.5322,20.0403,53.1,87,0,4.43,clear sky
88,Ilhabela,BR,-23.7781,-45.3581,67.86,92,100,4.99,overcast clouds
89,Saint-Pierre,RE,-21.3393,55.4781,69.48,67,20,16.11,few clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,72.34,84,52,15.86,broken clouds
91,Clyde River,CA,70.4692,-68.5914,34.03,93,100,18.41,overcast clouds
92,Kafyr-Kumukh,RU,42.8375,47.1541,81.72,50,2,6.53,clear sky
93,Hilo,US,19.7297,-155.09,92.28,74,75,12.66,broken clouds
94,Gainesville,US,29.6516,-82.3248,87.64,64,0,3.44,clear sky
95,Banyo,CM,6.75,11.8167,62.4,96,100,2.37,overcast clouds
96,Santa Comba,ES,43.0331,-8.8093,65.37,72,56,2.59,light rain
97,Port Alfred,ZA,-33.5906,26.891,68.49,36,0,12.26,clear sky
98,Margate,GB,51.3813,1.3862,68.31,81,32,3.0,scattered clouds
99,Liwale,TZ,-9.7667,37.9333,65.34,61,72,3.58,broken clouds
100,Vaini,TO,-21.2,-175.2,77.16,88,75,9.22,broken clouds
101,New Norfolk,AU,-42.7826,147.0587,39.7,79,90,1.99,overcast clouds
102,Nerchinskiy Zavod,RU,51.3088,119.61,64.09,89,98,2.33,overcast clouds
103,Wagar,SD,16.1525,36.2032,89.91,41,98,14.32,overcast clouds
104,Missoula,US,47.0166,-113.8009,89.85,23,1,11.52,clear sky
105,Evensk,RU,61.95,159.2333,59.2,80,100,2.08,light rain
106,Mutoko,ZW,-17.397,32.2268,51.98,71,78,2.44,broken clouds
107,Norman Wells,CA,65.282,-126.8329,77.04,31,75,2.3,broken clouds
108,Guerrero Negro,MX,27.9769,-114.0611,77.49,55,1,15.12,clear sky
109,Lebu,CL,-37.6167,-73.65,47.1,76,39,13.2,scattered clouds
110,Yeppoon,AU,-23.1333,150.7333,62.38,74,5,5.46,clear sky
111,Haines Junction,CA,60.7522,-137.5108,66.15,45,97,4.61,overcast clouds
112,Rio Grande,BR,-32.035,-52.0986,44.71,78,0,6.06,clear sky
113,Kruisfontein,ZA,-34.0033,24.7314,70.88,42,1,8.68,clear sky
114,Irgakly,RU,44.3611,44.7556,76.28,50,11,11.79,few clouds
115,Castro,BR,-24.7911,-50.0119,61.72,90,100,2.55,overcast clouds
116,Nikolskoye,RU,59.7035,30.7861,53.8,97,99,5.21,overcast clouds
117,Uglegorsk,RU,49.0833,142.0333,59.22,85,100,12.35,overcast clouds
118,Sorland,NO,67.667,12.6934,51.66,89,98,22.24,light rain
119,Upernavik,GL,72.7868,-56.1549,40.42,92,26,13.69,scattered clouds
120,Ugoofaaru,MV,5.6667,73.0,81.01,76,100,19.69,light rain
121,Sitka,US,57.0531,-135.33,55.29,88,100,6.91,moderate rain
122,Geraldton,AU,-28.7667,114.6,52.21,100,9,9.22,clear sky
123,Ramhormoz,IR,31.28,49.6035,94.55,24,0,6.71,clear sky
124,Adrar,MR,20.5022,-10.0711,98.62,11,60,9.06,broken clouds
125,Qaqortoq,GL,60.7167,-46.0333,44.22,84,75,5.08,broken clouds
126,Severo-Kurilsk,RU,50.6789,156.125,56.12,92,100,2.01,overcast clouds
127,Cherskiy,RU,68.75,161.3,42.22,53,98,16.28,overcast clouds
128,Avarua,CK,-21.2078,-159.775,77.05,73,100,12.66,overcast clouds
129,Auki,SB,-8.7676,160.7034,83.82,66,63,5.59,broken clouds
130,Luderitz,NA,-26.6481,15.1594,62.01,57,1,6.04,clear sky
131,Grajau,BR,-5.8194,-46.1386,80.65,43,10,3.62,clear sky
132,Freetown,SL,8.484,-13.2299,76.14,94,100,11.23,moderate rain
133,Venado Tuerto,AR,-33.7456,-61.9688,48.76,41,79,8.23,broken clouds
134,Lensk,RU,60.7253,114.9278,61.93,74,100,1.39,overcast clouds
135,Tamandare,BR,-8.7597,-35.1047,74.7,81,70,8.46,broken clouds
136,Belaya Gora,RU,68.5333,146.4167,55.65,46,75,3.85,broken clouds
137,Baker City,US,44.7749,-117.8344,92.91,25,0,4.61,clear sky
138,Hobart,AU,-42.8794,147.3294,40.05,80,40,6.91,scattered clouds
139,Kamenka,RU,51.3223,42.7678,64.4,90,62,4.34,light rain
140,Hasaki,JP,35.7333,140.8333,79.29,83,99,5.73,moderate rain
141,Srednekolymsk,RU,67.45,153.6833,56.32,40,9,9.86,clear sky
142,Wajir,KE,1.7471,40.0573,72.5,63,27,16.96,scattered clouds
143,Ancud,CL,-41.8697,-73.8203,41.23,76,43,10.31,scattered clouds
144,Tysmenytsya,UA,48.9022,24.8448,51.49,67,27,4.9,scattered clouds
145,Teknaf,BD,20.8624,92.3058,79.23,90,100,8.05,overcast clouds
146,Codrington,AU,-38.2667,141.9667,48.2,70,99,15.03,overcast clouds
